budget,duration_days,channels,profitable
16.0,6,4,0
17.39,22,5,1
19.66,41,1,0
4.88,10,4,0
37.16,7,3,0
17.42,24,3,0
26.86,8,1,0
5.06,58,1,0
35.28,33,4,1
28.16,23,2,0
10.91,39,5,1
36.24,42,5,1
35.24,10,1,0
19.02,32,6,0
11.87,41,6,1
33.2,30,1,1
1.18,46,5,0
38.11,6,3,1
38.55,56,6,1
4.18,40,2,0
37.77,30,4,1
12.06,55,2,1
32.69,59,4,1
34.72,46,1,1
7.95,16,1,0
14.34,25,3,0
38.32,36,6,1
31.59,44,6,1
28.38,18,5,0
10.14,21,2,0
29.56,25,4,1
2.54,28,2,0
11.3,19,5,0
10.72,35,3,0
3.23,60,2,0
19.28,38,6,0
2.3,58,5,0
39.4,15,4,1
20.02,37,5,1
31.14,35,2,1
21.65,9,2,0
5.8,15,3,0
18.61,17,5,0
1.29,34,5,0
12.7,14,4,0
25.77,7,6,1
8.03,21,5,0
36.76,32,6,1
25.75,29,1,0
1.99,59,5,0
17.74,26,6,0
35.94,7,1,1
10.99,30,3,0
5.66,6,5,0
11.78,49,6,1
19.9,11,6,0
16.36,28,6,0
10.49,15,2,0
19.15,34,1,0
19.89,56,2,1
28.25,31,4,1
39.91,29,5,1
25.73,19,1,0
4.06,20,4,0
6.9,38,2,0
12.7,22,1,0
37.69,14,6,1
3.5,58,5,0
26.38,11,4,1
16.8,31,2,0
10.57,37,5,1
26.04,9,3,1
30.52,43,3,1
31.05,50,4,1
9.45,10,3,0
8.5,27,5,0
8.45,32,1,0
9.68,60,5,1
9.41,11,4,0
21.39,49,4,1
13.34,24,6,1
25.16,52,4,1
38.89,41,3,1
31.88,18,4,0
4.5,42,3,0
37.85,34,5,1
16.11,28,5,1
7.91,57,3,0
10.55,51,1,0
3.17,46,6,1
12.02,52,4,0
19.3,28,4,0
5.12,16,6,0
38.7,40,1,1
17.64,57,1,0
21.98,35,6,1
13.38,18,6,1
36.29,51,2,1
34.39,56,5,1
19.82,15,3,0
1.04,38,6,0
26.69,56,1,1
14.07,57,1,0
6.41,19,2,0
19.09,23,4,1
29.43,58,6,1
26.77,52,5,1
4.83,49,5,0
36.62,24,5,1
19.78,46,5,0
36.37,44,2,1
17.36,46,5,0
36.38,46,6,1
33.88,33,5,1
2.45,51,1,0
35.6,11,1,1
27.55,40,5,1
23.67,15,2,0
1.1,29,6,0
25.64,59,6,1
26.06,5,5,0
34.75,16,2,1
16.33,45,6,1
3.45,19,5,0
29.72,37,3,0
15.33,41,2,0
13.79,11,6,0
27.22,44,1,1
2.56,43,6,0
2.22,51,3,0
39.02,26,4,1
34.96,47,4,1
32.2,41,4,1
19.83,30,2,0
16.16,30,1,0
8.18,37,5,0
2.25,49,2,0
32.0,41,6,1
10.92,45,6,0
30.24,6,6,1
3.31,54,5,0
10.55,5,2,0
17.72,54,6,1
15.7,43,5,1
9.07,5,5,0
31.28,8,2,1
3.76,39,5,0
24.85,29,2,0
22.95,59,3,1
21.36,7,1,0
8.08,6,4,0
26.33,30,2,1
29.0,47,2,1
23.11,28,4,1
23.66,20,2,0
22.26,21,2,0
17.93,36,4,0
23.51,22,3,1
21.12,9,4,0
12.14,14,4,0
34.03,41,5,1
14.33,40,5,1
4.91,52,5,0
25.42,22,2,0
34.41,46,3,1
5.39,30,3,0
2.12,44,2,0
13.45,59,1,0
11.6,54,4,0
7.05,12,4,0
11.84,36,2,0
17.55,8,2,0
9.66,17,2,0
21.73,32,6,1
16.93,34,4,1
16.4,24,3,0
5.31,50,5,0
30.46,11,4,0
25.18,22,3,0
22.68,59,1,1
13.16,28,3,0
39.91,43,2,1
29.57,50,5,1
33.44,5,4,1
22.79,8,5,0
25.1,16,1,0
27.96,7,4,0
11.98,8,2,0
10.95,24,5,0
30.92,60,3,1
13.29,52,3,0
2.09,41,1,0
19.0,11,6,1
34.59,50,6,1
17.49,35,4,1
22.96,45,4,1
36.15,42,2,1
6.89,57,4,0
8.19,7,2,0
1.7,24,2,0
14.87,52,5,1
6.03,47,2,0
23.36,48,1,0
13.99,43,6,1
4.51,6,4,0
29.36,27,6,1
30.51,31,5,1
36.43,23,3,1
14.84,28,3,0
22.22,39,3,0
25.91,46,6,1
35.16,23,3,1
37.84,6,6,1
14.04,35,5,0
9.43,24,4,0
11.77,29,3,0
11.23,7,3,0
31.21,26,6,1
25.26,33,4,1
5.67,44,4,0
25.41,8,5,0
26.81,33,5,1
20.23,49,6,1
29.71,8,2,0
3.78,23,2,0
27.89,52,4,1
3.23,5,3,0
34.36,30,4,1
21.83,21,4,0
33.84,35,1,1
6.7,34,5,0
8.8,24,5,0
33.57,16,4,1
4.49,39,6,0
13.53,12,6,0
31.47,42,5,1
34.34,48,4,1
6.46,58,1,0
3.54,36,3,0
25.52,49,1,0
9.56,6,5,0
12.52,20,2,0
3.08,43,6,0
14.81,25,2,0
32.7,9,5,1
23.48,40,1,0
2.16,49,4,0
3.91,40,5,0
35.75,51,4,1
25.64,47,3,0
7.87,20,1,0
25.12,41,3,1
32.07,5,1,0
33.2,30,1,1
26.25,35,4,0
6.51,20,5,0
34.13,36,2,1
27.2,55,3,1
33.15,23,5,1
19.49,27,5,1
34.87,26,4,1
32.3,33,1,1
13.89,6,5,1
6.99,17,4,0
25.21,58,5,1
9.03,40,3,0
14.44,10,3,0
9.86,59,2,0
16.26,30,5,1
14.76,29,5,0
28.33,19,3,1
24.69,56,1,1
7.66,39,5,0
26.47,36,4,1
30.38,17,4,1
18.64,54,3,1
2.35,8,6,0
31.96,27,4,1
29.15,33,4,1
3.49,15,1,0
11.77,18,2,0
30.65,5,6,1
25.73,41,6,1
6.62,11,2,0
14.31,21,5,1
2.73,54,5,0
35.8,55,5,1
31.55,24,2,1
10.69,37,4,1
17.31,21,5,1
30.04,32,6,1
21.7,38,4,1
4.88,31,2,0
